2018-07-21,王凤313,涪陵,2.5,姜文的片子终于看不懂了，故事不流畅，演员的表演不错
2018-07-21,yn虞念,遂宁,1.5,真的3分，不能更多了。。看到一半就想走。。。
2018-07-21,舞动的白月光,洛阳,5,好看好看好看
2018-07-21,Meb8672336,上海,0.5,剧情拖拉了两个多小时，前面一小时都不知道在讲什么，剪切的也是完全无厘头，差评，浪费我时间
2018-07-21,EwT946358883,潍坊,4,最后结局不太懂  总体还可以
2018-07-21,吖文小哥哥,广州,3,个人感觉是烂片，7.几全靠彭于晏撑起来，不过喜欢彭于晏的必须看，不要问为什么
2018-07-21,轰饮酒垆,射阳,5,超好看(ؔᶿ̷⌔ؔᶿ̷)
2018-07-21,jHW315870637,磁县,2,有点没懂这个电影想表达点什么。最后结局也不太好。
2018-07-21,凉晨枫,新密,3.5,看不太懂结局
2018-07-21,vxy773796480,长沙,3,一般般，主要是看人来的，剧情完全没有一点意思，人物设置不够细节
2018-07-21,RTT223752254,辽中,5,好看好看好看
2018-07-21,王春信1979,齐齐哈尔,2.5,这电影看的稀碎。。中间还带停电的。
2018-07-21,摩羯座,北京,4,感觉不错👌有故事，有笑点，个人感觉比药神好
2018-07-21,灰灰102,重庆,4,还是值得一看，画画美角色美，每一个章节都各有趣味。姜文还是很浪漫主义，所以有时候觉得在他的电影里像是在看说书人说书，故事很离奇，不太连贯，但还是很精彩
2018-07-21,sYv826966512,乐陵,5,好！！！大写的好！！！
2018-07-21,王凤313,涪陵,2.5,姜文的片子终于看不懂了，故事不流畅，演员的表演不错
2018-07-21,yn虞念,遂宁,1.5,真的3分，不能更多了。。看到一半就想走。。。
2018-07-21,舞动的白月光,洛阳,5,好看好看好看
2018-07-21,Meb8672336,上海,0.5,剧情拖拉了两个多小时，前面一小时都不知道在讲什么，剪切的也是完全无厘头，差评，浪费我时间
2018-07-21,EwT946358883,潍坊,4,最后结局不太懂  总体还可以
2018-07-21,吖文小哥哥,广州,3,个人感觉是烂片，7.几全靠彭于晏撑起来，不过喜欢彭于晏的必须看，不要问为什么
2018-07-21,轰饮酒垆,射阳,5,超好看(ؔᶿ̷⌔ؔᶿ̷)
2018-07-21,jHW315870637,磁县,2,有点没懂这个电影想表达点什么。最后结局也不太好。
2018-07-21,凉晨枫,新密,3.5,看不太懂结局
2018-07-21,vxy773796480,长沙,3,一般般，主要是看人来的，剧情完全没有一点意思，人物设置不够细节
2018-07-21,RTT223752254,辽中,5,好看好看好看
2018-07-21,摩羯座,北京,4,感觉不错👌有故事，有笑点，个人感觉比药神好
2018-07-21,灰灰102,重庆,4,还是值得一看，画画美角色美，每一个章节都各有趣味。姜文还是很浪漫主义，所以有时候觉得在他的电影里像是在看说书人说书，故事很离奇，不太连贯，但还是很精彩
2018-07-21,sYv826966512,乐陵,5,好！！！大写的好！！！
2018-07-21,王凤313,涪陵,2.5,姜文的片子终于看不懂了，故事不流畅，演员的表演不错
2018-07-21,yn虞念,遂宁,1.5,真的3分，不能更多了。。看到一半就想走。。。
2018-07-21,舞动的白月光,洛阳,5,好看好看好看
2018-07-21,Meb8672336,上海,0.5,剧情拖拉了两个多小时，前面一小时都不知道在讲什么，剪切的也是完全无厘头，差评，浪费我时间
2018-07-21,EwT946358883,潍坊,4,最后结局不太懂  总体还可以
2018-07-21,吖文小哥哥,广州,3,个人感觉是烂片，7.几全靠彭于晏撑起来，不过喜欢彭于晏的必须看，不要问为什么
2018-07-21,轰饮酒垆,射阳,5,超好看(ؔᶿ̷⌔ؔᶿ̷)
2018-07-21,jHW315870637,磁县,2,有点没懂这个电影想表达点什么。最后结局也不太好。
2018-07-21,凉晨枫,新密,3.5,看不太懂结局
2018-07-21,vxy773796480,长沙,3,一般般，主要是看人来的，剧情完全没有一点意思，人物设置不够细节
2018-07-21,RTT223752254,辽中,5,好看好看好看
2018-07-21,zLR402541206,西安,0.5,没意思，不知道2小时演的什么，很烂的剧情。
2018-07-21,灰灰102,重庆,4,还是值得一看，画画美角色美，每一个章节都各有趣味。姜文还是很浪漫主义，所以有时候觉得在他的电影里像是在看说书人说书，故事很离奇，不太连贯，但还是很精彩
2018-07-21,sYv826966512,乐陵,5,好！！！大写的好！！！
2018-07-21,王凤313,涪陵,2.5,姜文的片子终于看不懂了，故事不流畅，演员的表演不错
2018-07-21,yn虞念,遂宁,1.5,真的3分，不能更多了。。看到一半就想走。。。
2018-07-21,舞动的白月光,洛阳,5,好看好看好看
2018-07-21,Meb8672336,上海,0.5,剧情拖拉了两个多小时，前面一小时都不知道在讲什么，剪切的也是完全无厘头，差评，浪费我时间
2018-07-21,EwT946358883,潍坊,4,最后结局不太懂  总体还可以
2018-07-21,吖文小哥哥,广州,3,个人感觉是烂片，7.几全靠彭于晏撑起来，不过喜欢彭于晏的必须看，不要问为什么
2018-07-21,轰饮酒垆,射阳,5,超好看(ؔᶿ̷⌔ؔᶿ̷)
2018-07-21,jHW315870637,磁县,2,有点没懂这个电影想表达点什么。最后结局也不太好。
2018-07-21,凉晨枫,新密,3.5,看不太懂结局
2018-07-21,vxy773796480,长沙,3,一般般，主要是看人来的，剧情完全没有一点意思，人物设置不够细节
2018-07-21,RTT223752254,辽中,5,好看好看好看
2018-07-21,zLR402541206,西安,0.5,没意思，不知道2小时演的什么，很烂的剧情。
2018-07-21,vsJ496166557,顺德,5,喜欢这种看不懂但是很高级的感觉
2018-07-21,灰灰102,重庆,4,还是值得一看，画画美角色美，每一个章节都各有趣味。姜文还是很浪漫主义，所以有时候觉得在他的电影里像是在看说书人说书，故事很离奇，不太连贯，但还是很精彩
2018-07-21,sYv826966512,乐陵,5,好！！！大写的好！！！
2018-07-21,王凤313,涪陵,2.5,姜文的片子终于看不懂了，故事不流畅，演员的表演不错
2018-07-21,yn虞念,遂宁,1.5,真的3分，不能更多了。。看到一半就想走。。。
2018-07-21,舞动的白月光,洛阳,5,好看好看好看
2018-07-21,Meb8672336,上海,0.5,剧情拖拉了两个多小时，前面一小时都不知道在讲什么，剪切的也是完全无厘头，差评，浪费我时间
2018-07-21,EwT946358883,潍坊,4,最后结局不太懂  总体还可以
2018-07-21,吖文小哥哥,广州,3,个人感觉是烂片，7.几全靠彭于晏撑起来，不过喜欢彭于晏的必须看，不要问为什么
2018-07-21,轰饮酒垆,射阳,5,超好看(ؔᶿ̷⌔ؔᶿ̷)
2018-07-21,jHW315870637,磁县,2,有点没懂这个电影想表达点什么。最后结局也不太好。
2018-07-21,凉晨枫,新密,3.5,看不太懂结局
2018-07-21,vxy773796480,长沙,3,一般般，主要是看人来的，剧情完全没有一点意思，人物设置不够细节
2018-07-21,RTT223752254,辽中,5,好看好看好看
2018-07-21,zLR402541206,西安,0.5,没意思，不知道2小时演的什么，很烂的剧情。
2018-07-21,vsJ496166557,顺德,5,喜欢这种看不懂但是很高级的感觉
2018-07-21,sYv826966512,乐陵,5,好！！！大写的好！！！
2018-07-21,王凤313,涪陵,2.5,姜文的片子终于看不懂了，故事不流畅，演员的表演不错
2018-07-21,yn虞念,遂宁,1.5,真的3分，不能更多了。。看到一半就想走。。。
2018-07-21,舞动的白月光,洛阳,5,好看好看好看
2018-07-21,Meb8672336,上海,0.5,剧情拖拉了两个多小时，前面一小时都不知道在讲什么，剪切的也是完全无厘头，差评，浪费我时间
2018-07-21,EwT946358883,潍坊,4,最后结局不太懂  总体还可以
2018-07-21,吖文小哥哥,广州,3,个人感觉是烂片，7.几全靠彭于晏撑起来，不过喜欢彭于晏的必须看，不要问为什么
2018-07-21,轰饮酒垆,射阳,5,超好看(ؔᶿ̷⌔ؔᶿ̷)
2018-07-21,jHW315870637,磁县,2,有点没懂这个电影想表达点什么。最后结局也不太好。
2018-07-21,凉晨枫,新密,3.5,看不太懂结局
2018-07-21,vxy773796480,长沙,3,一般般，主要是看人来的，剧情完全没有一点意思，人物设置不够细节
2018-07-21,RTT223752254,辽中,5,好看好看好看
2018-07-21,zLR402541206,西安,0.5,没意思，不知道2小时演的什么，很烂的剧情。
2018-07-21,vsJ496166557,顺德,5,喜欢这种看不懂但是很高级的感觉
2018-07-21,不知7火舞,天津,4.5,從一個不同的角度表達一個復仇的故事！
2018-07-21,王凤313,涪陵,2.5,姜文的片子终于看不懂了，故事不流畅，演员的表演不错
2018-07-21,yn虞念,遂宁,1.5,真的3分，不能更多了。。看到一半就想走。。。
2018-07-21,舞动的白月光,洛阳,5,好看好看好看
2018-07-21,Meb8672336,上海,0.5,剧情拖拉了两个多小时，前面一小时都不知道在讲什么，剪切的也是完全无厘头，差评，浪费我时间
2018-07-21,EwT946358883,潍坊,4,最后结局不太懂  总体还可以
2018-07-21,吖文小哥哥,广州,3,个人感觉是烂片，7.几全靠彭于晏撑起来，不过喜欢彭于晏的必须看，不要问为什么
2018-07-21,轰饮酒垆,射阳,5,超好看(ؔᶿ̷⌔ؔᶿ̷)
2018-07-21,jHW315870637,磁县,2,有点没懂这个电影想表达点什么。最后结局也不太好。
2018-07-21,凉晨枫,新密,3.5,看不太懂结局
2018-07-21,vxy773796480,长沙,3,一般般，主要是看人来的，剧情完全没有一点意思，人物设置不够细节
2018-07-21,RTT223752254,辽中,5,好看好看好看
2018-07-21,zLR402541206,西安,0.5,没意思，不知道2小时演的什么，很烂的剧情。
2018-07-21,vsJ496166557,顺德,5,喜欢这种看不懂但是很高级的感觉
2018-07-21,不知7火舞,天津,4.5,從一個不同的角度表達一個復仇的故事！
2018-07-21,天萦2011,三门峡,3.5,出了我彭的肉体。其他没啥
2018-07-21,yn虞念,遂宁,1.5,真的3分，不能更多了。。看到一半就想走。。。
2018-07-21,舞动的白月光,洛阳,5,好看好看好看
2018-07-21,Meb8672336,上海,0.5,剧情拖拉了两个多小时，前面一小时都不知道在讲什么，剪切的也是完全无厘头，差评，浪费我时间
2018-07-21,EwT946358883,潍坊,4,最后结局不太懂  总体还可以
2018-07-21,吖文小哥哥,广州,3,个人感觉是烂片，7.几全靠彭于晏撑起来，不过喜欢彭于晏的必须看，不要问为什么
2018-07-21,轰饮酒垆,射阳,5,超好看(ؔᶿ̷⌔ؔᶿ̷)
2018-07-21,jHW315870637,磁县,2,有点没懂这个电影想表达点什么。最后结局也不太好。
2018-07-21,凉晨枫,新密,3.5,看不太懂结局
2018-07-21,vxy773796480,长沙,3,一般般，主要是看人来的，剧情完全没有一点意思，人物设置不够细节
2018-07-21,RTT223752254,辽中,5,好看好看好看
2018-07-21,zLR402541206,西安,0.5,没意思，不知道2小时演的什么，很烂的剧情。
2018-07-21,vsJ496166557,顺德,5,喜欢这种看不懂但是很高级的感觉
2018-07-21,不知7火舞,天津,4.5,從一個不同的角度表達一個復仇的故事！
2018-07-21,天萦2011,三门峡,3.5,出了我彭的肉体。其他没啥
2018-07-21,仙女味儿yi,莆田,5,好吧。。。。。。。。。
2018-07-21,yn虞念,遂宁,1.5,真的3分，不能更多了。。看到一半就想走。。。
2018-07-21,舞动的白月光,洛阳,5,好看好看好看
2018-07-21,Meb8672336,上海,0.5,剧情拖拉了两个多小时，前面一小时都不知道在讲什么，剪切的也是完全无厘头，差评，浪费我时间
2018-07-21,EwT946358883,潍坊,4,最后结局不太懂  总体还可以
2018-07-21,吖文小哥哥,广州,3,个人感觉是烂片，7.几全靠彭于晏撑起来，不过喜欢彭于晏的必须看，不要问为什么
2018-07-21,轰饮酒垆,射阳,5,超好看(ؔᶿ̷⌔ؔᶿ̷)
2018-07-21,jHW315870637,磁县,2,有点没懂这个电影想表达点什么。最后结局也不太好。
2018-07-21,凉晨枫,新密,3.5,看不太懂结局
2018-07-21,vxy773796480,长沙,3,一般般，主要是看人来的，剧情完全没有一点意思，人物设置不够细节
2018-07-21,RTT223752254,辽中,5,好看好看好看
2018-07-21,zLR402541206,西安,0.5,没意思，不知道2小时演的什么，很烂的剧情。
2018-07-21,vsJ496166557,顺德,5,喜欢这种看不懂但是很高级的感觉
2018-07-21,不知7火舞,天津,4.5,從一個不同的角度表達一個復仇的故事！
2018-07-21,天萦2011,三门峡,3.5,出了我彭的肉体。其他没啥
2018-07-21,仙女味儿yi,莆田,5,好吧。。。。。。。。。
2018-07-21,舞动的白月光,洛阳,5,好看好看好看
2018-07-21,Meb8672336,上海,0.5,剧情拖拉了两个多小时，前面一小时都不知道在讲什么，剪切的也是完全无厘头，差评，浪费我时间
